Text;Label
girl this nigga make me sick to my stomach;1
Haha isn't route running part of the position? People are dumb. But fuck edelman! He just looks like he says;1
Racism is when u select yur white clothes to wash first before the black and colored ones;1
Who are islamists? Those who fully follow the teachings of Muhammed found in the Quran and Hadiths;1
Male action movies...ehhhh @That_Damn_Ram Not sexist but female action movies...ehhhh;1
Ha-ha-ha-ha-ha! Islam is against evil ;1
you not only a nigger, you're a dumb nigger. Fuck you and your riots. You want war?;1
I hate your job too.;1
My friends and me got called niggers by this Mexican chick . ;1
Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?;1
As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah;1
Israel and US have the same enemies.;1
Bangladesh is a looser country ;1
Bangladesh are allout o 100 runs.;1
Me your big friend from bangladesh;1
Hahaha!  Well take care then. ;1
Heroalom is fool of bangladesh actor;1
Son of a bitch!;1
r u a drty slut?;1
You are a dirty mind people.;1
He killed him;1
Oil your own machine.;1
you are a fatty fat fat;1
Maram wanted to research the roots of her;1
wait your fb is banned now ;1
Heroalom er cehara dekte akebare nispap baccha;1
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama You guys are idiots.;1
To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity;1
Hindus are son of bitches;1
Bnp are not power to the election ;1
 None of them can show anything in her past but current plans.;1
Have not seen a white girl/boy act as dumb or hateful as a nigger or beaner since election but fuck white people we are racists!;1
kimjonun is a dangerous person ;1
Shut the fuck up, Red, you dumb nigger;1
 the tourists suck worse;1
Tui kon bal hoicos;1
Now you are finished ;1
You cannot Salat;1
you are a fuck boy lusser;1
Hate them.;1
I'm sure you are a loser;1
you are killed him;1
I think feeling is one of ur first senses to go;1
Racism in this country is what's driving us all nuts;1
Let the law do their diligence. You morons! ;1
Your friends are all stupid niggers so how are they any help to you?!;1
Which is why he was fired by Muslim people;1
Mondir vanish to the world.;1
You are a poor people;1
killed him buddis people;1
How cruel you are;1
Why do you talk so badly?;1
The country will not improve by you;1
What Muslim are you talking about you idiot ;1
U are poor people;1
He drank alcohol and beat his wife;1
Eid day are the bad day of month;1
say earth flat like a carpet is an idiot.;1
the prophet Muhamad s.w.s declared islam afull religion;1
Tor cehara na dekhay vlo;1
Why do Muslims force women to cover up and stay at home?;1
you are a lier;1
you are third gender people ;1
I hate Lucky Charms;1
Nuclear weapons pose a threat to everyone.;1
The police have to take any terrorist;1
It is hoped that the kidnappers will not carry out their threat to kill the hostages.;1
Three main line railway stations were closed;1
The key witness for the prosecution was offered police protection after she received ;1
 If ur still not Muslim till the day of judgment,  shock u would be to learn that Allah is the one and only true God;1
Expect trouble this weekend from the radical Christians that support him.;1
Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.;1
How about you stop asking questions lil nigga;1
To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done;1
Haha you are a bad student;1
This video is worth going viral.;1
You are the next tik tok super star, my friend.;1
I can’t believe it’s you, keep growing, keep doing.;1
.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not;1
you are a foolish ;1
Yeah thats picture is as like hero alom;1
Their collection of movies are adult types;1
Even as a troll you are a pathetic failure.;1
the prophet Muhamad s.w.s declared islam afull religion;1
Why do Muslims force women to cover up and stay at home?;1
I hate Lucky Charms;1
The police have to take any terrorist;1
This video is worth going viral.;1
Nuclear weapons pose a threat to everyone.;1
It is hoped that the kidnappers will not carry out their threat to kill the hostages.;1
The police have to take any terrorist;1
Three main line railway stations were closed;1
The key witness for the prosecution was offered police protection after she received ;1
Yeah thats picture is as like hero alom;1
Why do Muslims force women to cover up and stay at home?;1
I hate Lucky Charms;1
The police have to take any terrorist;1
This video is worth going viral.;1
Nuclear weapons pose a threat to everyone.;1
It is hoped that the kidnappers will not carry out their threat to kill the hostages.;1
The police have to take any terrorist;1
Three main line railway stations were closed;1
The key witness for the prosecution was offered police protection after she received ;1
This video is worth going viral.;1
Nuclear weapons pose a threat to everyone.;1
It is hoped that the kidnappers will not carry out their threat to kill the hostages.;1
The police have to take any terrorist;1
Three main line railway stations were closed;1
The key witness for the prosecution was offered police protection after she received ;1
.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not;1
you are a foolish ;1
Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.;1
How about you stop asking questions lil nigga;1
To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done;1
Me your big friend from bangladesh;1
Hahaha!  Well take care then. ;1
He drank alcohol and beat his wife;1
Eid day are the bad day of month;1
say earth flat like a carpet is an idiot.;1
the prophet Muhamad s.w.s declared islam afull religion;1
you are a fuck boy lusser;1
Hate them.;1
I'm sure you are a loser;1
you are killed him;1
I think feeling is one of ur first senses to go;1
Racism in this country is what's driving us all nuts;1
Let the law do their diligence. You morons! ;1
Your friends are all stupid niggers so how are they any help to you?!;1
how lame the politicals are;1
The people are too much talkative;1
People are irresponsible for theie post;1
The post of the manager is harmful for the society;1
The Society can do everything for their bad things;1
Social people are too much bad;1
hahaha the memes is like as you;1
Lets talk abou the rubbish team ;1
The mango people are very bad;1
You are a rabbish;1
Her working level is too much low ;1
Students League are fuck of;1
You are a rabbish;1
stupid video George Z had to do that in self defense.;1
A stupid one.;1
