Text;Label
I wanna fuck you;2
Get fucking real dude.;2
Heh. Fuck 'em WHERE?!?;2
i m not tired babe.....i have been flying like clouds in ur mind;2
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!;2
Hey girl your sexy figure is so nice;2
Fuck u baby ;2
I fucking forgot it. So mad.;2
she sucks.;2
FUCK ME !;2
I want fuck you;2
Wow sexy girl.;2
One night stay with you bby..;2
Hot Figure;2
You figure is to much hot;2
I kiss u.;2
whats the fuck girl;2
She looks like a bitch;2
Sexy ;2
Fuck of this;2
Hey girl i sleep at a Night ;2
Dawg I want this bitch to suffer;2
Your noods is virul;2
Hey girl per night 1000 tk;2
 Too bad about those hurt by it or unprotected by it, right?;2
You need a very hot dress;2
You looking too much hot;2
Fuck of;2
what is your size?;2
Fuck of;2
 Too bad about those hurt by it or unprotected by it, right?;2
me andd you lets go to the club;2
Hey girl per night 1000 tk;2
 Too bad about those hurt by it or unprotected by it, right?;2
Dawg I want this bitch to suffer;2
i m not tired babe.....i have been flying like clouds in ur mind;2
She looks like a bitch;2
Sexy ;2
I want fuck you;2
Wow sexy girl.;2
One night stay with me please;2
Hot girls;2
It can't happed without our sex night;2
Lets talk about sex ;2
your ass is too much hot;2
what the fuck;2
wow sexy ;2
HATE getting the last word. That's why they follow you around expectantly after an argument, hoping you'll say something.;2
Did your father Humayun Kabir's sperm enter your mother during your birth process?;2
No more Viagra for Dhazhvong. Destroy all these kulkhankiras.;2
you are looking really hot in the photo;2
sexy lady;2
Sucks you girls;2
 I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.;2
 I thought of a really funny joke and I promise I'm not sexist but I have to say it.;2
We can't even fucking ride bikes now?;2
R kto ber kre dekhbi? ;2
 Because being female is the *only* quality a person should be judged on. Got it.;2
How can someone fuck up cous cous for fuck sake;2
"""Gag"" gifts such as sex toys and merchandise";2
Whistling, cat calls, kissing or smacking sounds;2
"""fuck you both""";2
Spreading rumors about a person's sex life;2
 I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.;2
sexually assaulting you.;2
one night stand sex;2
Soooo sexy this sooooong!!!!!!;2
She's soo fucking cute I'm guessing there ;2
 This gives me fucking chills.;2
Sexual comments about a person's clothing,;2
It should be legal for a husband to rape his wife;2
dalits are lowlife scum;2
dalits are lowlives;2
It was a better world when women dare not question men;2
women are a burden to our society;2
gay people are a burden to our society;2
gay people are a burden on our society;2
Girls can't play football;2
Women shouldn't even try to play football;2
Football is a man's game;2
She's not as good as a man;2
Women will never be as good as men;2
Women should stick to the things they're good at, mainly domestic chores;2
Women never stop talking;2
Women talk too much;2
Women never shut up;2
Ban women from the workplace;2
Get women out of the workplace;2
Men should leave the childcare to women and focus on more important things;2
Men are too important to do childcare, its a womans job;2
It's women's job to raise kids, it's all theyre good for;2
Women shouldn't even pretend to like sport;2
